"ID","`UseCondition` ","`UseReversed` ","`UseInversion` ","`UseStrict` ","`UseUnsafe` ","Description"
"51 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsStrict` ","`AsSafe` (default) ",return `ThenType` if A is B otherwise `ElseType`.
"52 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsStrict` ","`AsUnsafe` ",return `ThenType` if A is B (converting `boolean` to `true`) otherwise `ElseType`.
"53 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsLoose` (default) ","`AsSafe` (default) ",return `ElseType` if A extends B otherwise `ThenType`.
"54 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsLoose` (default) ","`AsUnsafe` ",return `ElseType` if A extends B (converting `boolean` to `true`) otherwise `ThenType`.
"55 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsStrict` ","`AsSafe` (default) ",return `ElseType` if A is B otherwise `ThenType`.
"56 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsStrict` ","`AsUnsafe` ",return `ElseType` if A is B (converting `boolean` to `true`) otherwise `ThenType`.
"57 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsLoose` (default) ","`AsSafe` (default) ",return `ThenType` if B extends A otherwise `ElseType`.
"58 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsLoose` (default) ","`AsUnsafe` ",return `ThenType` if B extends A (converting `boolean` to `true`) otherwise `ElseType`.
"59 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsStrict` ","`AsSafe` (default) ",return `ThenType` if B is A otherwise `ElseType`.
"60 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsStrict` ","`AsUnsafe` ",return `ThenType` if B is A (converting `boolean` to `true`) otherwise `ElseType`.
"61 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInverted` ","`AsLoose` (default) ","`AsSafe` (default) ",return `ElseType` if B extends A otherwise `ThenType`.
"62 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInverted` ","`AsLoose` (default) ","`AsUnsafe` ",return `ElseType` if B extends A (converting `boolean` to `ThenType`) otherwise `true`.
"63 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInverted` ","`AsStrict` ","`AsSafe` (default) ",return `ElseType` if B is A otherwise `ThenType`.
"64 ","`ConditionOf<ThenType,ElseType>` ","`UseReversed` ","`AsInverted` ","`AsStrict` ","`AsUnsafe` ",return `ElseType` if B is A (converting `boolean` to `true`) otherwise `ThenType`.
